zipCode,Average_Income_Per_Citizen
1348,22936.735715282623
1340,22936.735715282623
1367,23370.27410979451
1367,23370.27410979451
1367,23370.27410979451
1367,23370.27410979451
1367,23370.27410979451
1367,23370.27410979451
1367,23370.27410979451
1430,21790.053615197183
1430,21790.053615197183
1430,21790.053615197183
1457,25952.552928505356
1457,25952.552928505356
1457,25952.552928505356
8730,23618.810246109973
8730,23618.810246109973
8370,22305.956225440008
8370,22305.956225440008
8310,24065.43666407341
8000,24065.43666407341
8380,24065.43666407341
8000,24065.43666407341
8380,24065.43666407341
8200,24065.43666407341
8310,24065.43666407341
8200,24065.43666407341
8380,24065.43666407341
8340,24257.73821012022
8340,24257.73821012022
8340,24257.73821012022
8340,24257.73821012022
8340,24257.73821012022
8490,25749.36247609877
8490,25749.36247609877
8490,25749.36247609877
8490,25749.36247609877
8490,25749.36247609877
8020,24377.95976528926
8020,24377.95976528926
8020,24377.95976528926
8020,24377.95976528926
8820,22443.164919642
8211,24058.645290923854
8210,24058.645290923854
8210,24058.645290923854
8210,24058.645290923854
8377,25033.61555434388
8377,25033.61555434388
8377,25033.61555434388
8377,25033.61555434388
8300,32740.104210445705
8300,32740.104210445705
8600,21147.757908466287
8600,21147.757908466287
8600,21147.757908466287
8600,21147.757908466287
8600,21147.757908466287
8600,21147.757908466287
8600,21147.757908466287
8600,21147.757908466287
8600,21147.757908466287
8340,21147.757908466287
8600,21147.757908466287
8600,21147.757908466287
8600,21147.757908466287
8600,21147.757908466287
8600,21147.757908466287
8600,21147.757908466287
8600,21147.757908466287
8650,20376.716484707704
8650,20376.716484707704
8650,20376.716484707704
8680,21485.053729425028
8680,21485.053729425028
8680,21485.053729425028
8610,20949.3781938942
8610,20949.3781938942
8610,20949.3781938942
8610,20949.3781938942
8647,20459.103873957367
8647,20459.103873957367
8647,20459.103873957367
8647,20459.103873957367
8904,21773.866088394043
8900,21773.866088394043
8900,21773.866088394043
8906,21773.866088394043
8902,21773.866088394043
8900,21773.866088394043
8900,21773.866088394043
8908,21773.866088394043
8902,21773.866088394043
8902,21773.866088394043
8904,21773.866088394043
8957,16797.239608938547
8972,20644.647242693136
8970,20644.647242693136
8972,20644.647242693136
8970,20644.647242693136
8972,20644.647242693136
8978,20644.647242693136
8940,20260.40365554977
8940,20260.40365554977
8980,21549.10532627588
8980,21549.10532627588
8980,21549.10532627588
8400,21549.10532627588
8980,21549.10532627588
8980,21549.10532627588
8951,20521.81276702689
8956,20521.81276702689
8958,20521.81276702689
8950,20521.81276702689
8954,20521.81276702689
8953,20521.81276702689
8952,20521.81276702689
8920,21746.15144479102
8920,21746.15144479102
8920,21746.15144479102
8640,19729.842774854613
8640,19729.842774854613
8640,19729.842774854613
8570,23651.55069110498
8570,23651.55069110498
8570,23651.55069110498
8572,23651.55069110498
8573,23651.55069110498
8570,23651.55069110498
8580,22036.38229382692
8583,22036.38229382692
8581,22036.38229382692
8582,22036.38229382692
8581,22036.38229382692
8540,23216.510296154764
8531,22145.40151416785
8530,22145.40151416785
8531,22145.40151416785
8511,22379.0981780756
8510,22379.0981780756
8501,22379.0981780756
8501,22379.0981780756
8510,22379.0981780756
8500,22379.0981780756
8510,22379.0981780756
8510,22379.0981780756
8520,21701.85006841017
8860,22639.589566774688
8930,19797.16624701357
8930,19797.16624701357
8930,19797.16624701357
8792,23039.09522032009
8793,23039.09522032009
8790,23039.09522032009
8560,22416.23500172983
8560,22416.23500172983
8560,22416.23500172983
8551,23173.57720752797
8552,23173.57720752797
8553,23173.57720752797
8554,23173.57720752797
8550,23173.57720752797
8587,21629.23211089494
8587,21629.23211089494
8450,23038.01482827277
8470,22614.29009947004
8470,22614.29009947004
8470,22614.29009947004
8470,22614.29009947004
8480,21693.545765935218
8480,21693.545765935218
8480,21693.545765935218
8432,23338.19988914199
8434,23338.19988914199
8433,23338.19988914199
8430,23338.19988914199
8433,23338.19988914199
1541,23338.19988914199
8433,23338.19988914199
8433,23338.19988914199
8434,23338.19988914199
8431,23338.19988914199
8400,21690.804874956702
8400,21690.804874956702
8460,22601.608044596916
8460,22601.608044596916
8460,22601.608044596916
8460,22601.608044596916
8420,25630.10926224378
8420,25630.10926224378
8421,25630.10926224378
8420,25630.10926224378
8830,22519.286344902383
8830,22519.286344902383
8770,21885.53711017985
8870,21911.485227656565
8870,21911.485227656565
8870,21911.485227656565
8880,21338.224722620263
8880,21338.224722620263
8880,21338.224722620263
8810,22641.852568186776
8890,21633.445091258407
8890,21633.445091258407
8800,21783.34538492088
8800,21783.34538492088
8800,21783.34538492088
8840,20701.01333190137
8840,20701.01333190137
8840,20701.01333190137
8720,22514.809493744207
8720,22514.809493744207
8720,22514.809493744207
8720,22514.809493744207
8760,21759.582732432435
8780,21795.29309313053
8740,21582.290804799533
8740,21582.290804799533
8755,22648.635606831394
8700,22389.908688952222
8700,22389.908688952222
8700,22389.908688952222
3390,22389.908688952222
8700,22389.908688952222
8710,21757.441251373213
8710,21757.441251373213
8710,21757.441251373213
8750,22507.66411064565
8750,22507.66411064565
8850,22170.537019704432
8851,22170.537019704432
8690,20982.35528888009
8691,20982.35528888009
8691,20982.35528888009
8690,20982.35528888009
8691,20982.35528888009
8691,20982.35528888009
8690,20982.35528888009
8690,20982.35528888009
8691,20982.35528888009
8660,23454.94721886554
8660,23454.94721886554
8670,29943.28447885894
8670,29943.28447885894
8670,29943.28447885894
8301,24003.16536761507
8620,24003.16536761507
8301,24003.16536761507
8620,24003.16536761507
8620,24003.16536761507
8730,24003.16536761507
8630,21980.62319751993
8630,21980.62319751993
8630,21980.62319751993
8630,21980.62319751993
8630,21980.62319751993
8630,21980.62319751993
8630,21980.62319751993
8630,21980.62319751993
8630,21980.62319751993
8630,21980.62319751993
8630,21980.62319751993
9310,22980.72143247324
9320,22980.72143247324
9308,22980.72143247324
9310,22980.72143247324
1981,22980.72143247324
9308,22980.72143247324
9310,22980.72143247324
9470,22053.68835264388
9472,22053.68835264388
9473,22053.68835264388
9500,22543.35381868448
9500,22543.35381868448
9506,22543.35381868448
9506,22543.35381868448
9500,22543.35381868448
9506,22543.35381868448
9500,22543.35381868448
9500,22543.35381868448
9500,22543.35381868448
9506,22543.35381868448
9506,22543.35381868448
9500,22543.35381868448
9506,22543.35381868448
9506,22543.35381868448
9500,22543.35381868448
9450,24641.19426482029
9450,24641.19426482029
9450,24641.19426482029
9451,24641.19426482029
9552,24773.771475287205
9550,24773.771475287205
9550,24773.771475287205
9551,24773.771475287205
9550,24773.771475287205
9550,24773.771475287205
9550,24773.771475287205
9550,24773.771475287205
9340,25313.102357515658
9340,25313.102357515658
9340,25313.102357515658
9340,25313.102357515658
9340,25313.102357515658
9400,22642.598119871294
9404,22642.598119871294
9400,22642.598119871294
9400,22642.598119871294
9402,22642.598119871294
9400,22642.598119871294
9403,22642.598119871294
9400,22642.598119871294
9400,22642.598119871294
9406,22642.598119871294
9401,22642.598119871294
9400,22642.598119871294
9520,25297.31056014261
9521,25297.31056014261
9520,25297.31056014261
9520,25297.31056014261
9520,25297.31056014261
9520,25297.31056014261
9620,25204.903148462625
9620,25204.903148462625
9620,25204.903148462625
9620,25204.903148462625
9620,25204.903148462625
9620,25204.903148462625
9620,25204.903148462625
9620,25204.903148462625
9660,25204.903148462625
9620,25204.903148462625
9620,25204.903148462625
9620,25204.903148462625
9420,25063.019679988487
9420,25063.019679988487
9420,25063.019679988487
9420,25063.019679988487
9420,25063.019679988487
9420,25063.019679988487
9420,25063.019679988487
9420,25063.019679988487
9290,23822.388551728603
9290,23822.388551728603
9290,23822.388551728603
9255,25295.59861691409
9255,25295.59861691409
9200,23427.80601223463
9200,23427.80601223463
9200,23427.80601223463
9200,23427.80601223463
9200,23427.80601223463
9200,23427.80601223463
9200,23427.80601223463
9200,23427.80601223463
1785,22241.772349810788
9220,22241.772349810788
9220,22241.772349810788
9270,26108.39501835888
9270,26108.39501835888
9280,23571.50188205772
9280,23571.50188205772
9280,23571.50188205772
9250,27386.20068980943
9230,23131.82541236728
9230,23131.82541236728
9230,23131.82541236728
9260,24518.28244565217
9260,24518.28244565217
9260,24518.28244565217
9240,21573.589026855057
9960,24160.82482508882
9968,24160.82482508882
9961,24160.82482508882
9968,24160.82482508882
9900,21718.83691327913
9970,24948.572907241534
9971,24948.572907241534
9991,22659.246335567743
9990,22659.246335567743
9992,22659.246335567743
9982,23181.089821048143
9981,23181.089821048143
9980,23181.089821048143
9988,23181.089821048143
9988,23181.089821048143
9060,20819.55924536661
9840,30664.227903922278
9840,30664.227903922278
9070,27532.193404723253
9940,24558.1047834888
9940,24558.1047834888
9940,24558.1047834888
9940,24558.1047834888
9890,26320.930422183552
9890,26320.930422183552
9890,26320.930422183552
9890,26320.930422183552
9890,26320.930422183552
9890,26320.930422183552
9051,22427.80396024944
9031,22427.80396024944
9000,22427.80396024944
9050,22427.80396024944
9050,22427.80396024944
9030,22427.80396024944
9041,22427.80396024944
9040,22427.80396024944
9051,22427.80396024944
9032,22427.80396024944
9052,22427.80396024944
9080,26203.344479261472
9080,26203.344479261472
9080,26203.344479261472
9080,26203.344479261472
9090,26406.44294147157
9090,26406.44294147157
9820,27325.95840277778
9820,27325.95840277778
9820,27325.95840277778
9820,27325.95840277778
9820,27325.95840277778
9820,27325.95840277778
9500,24293.67161511005
9180,24293.67161511005
9810,26243.250130997218
9810,26243.250130997218
9860,26582.41540787222
9860,26582.41540787222
9860,26582.41540787222
9860,26582.41540787222
