CD_MUNTY_REFNIS,MS_TOT_NET_INC,MS_TOT_RESIDENTS,Average_Income_Per_Citizen
37012,124658090.38,5504,22648.635606831394
37015,463493499.77,20701,22389.908688952222
37017,217857259.25,10013,21757.441251373213
37018,338492760.56,15039,22507.664110645655
37020,207028474.69,9338,22170.537019704432
38002,106044823.63,5054,20982.355288880095
38008,260091909.71,11089,23454.94721886554
38014,648691314.95,21664,29943.28447885894
38016,275868379.57,11493,24003.16536761507
38025,272977359.49,12419,21980.62319751993
41002,2069827617.98,90068,22980.72143247324
41011,462532005.82,20973,22053.688352643876
41018,782795418.0,34724,22543.35381868448
41024,475106866.62,19281,24641.19426482029
41027,463641133.16,18715,24773.771475287205
41034,484999041.17,19160,25313.102357515658
41048,907809686.42,40093,22642.598119871298
41063,269618735.95,10658,25297.310560142614
41081,697596104.44,27677,25204.903148462625
41082,522388519.19,20843,25063.019679988487
42003,367960613.57,15446,23822.388551728603
42004,376575576.61,14887,25295.59861691409
42006,1099138946.87,46916,23427.80601223463
42008,564229280.97,25368,22241.772349810788
42010,327085972.79,12528,26108.39501835888
42011,469662175.0,19925,23571.501882057717
42023,306095565.11,11177,27386.20068980943
42025,618730066.13,26748,23131.82541236728
42026,293238658.05,11960,24518.282445652174
42028,461113891.86,21374,21573.589026855057
43002,353617832.14,14636,24160.82482508882
43005,480855049.26,22140,21718.836913279134
43007,164336249.74,6587,24948.572907241538
43010,557757348.55,24615,22659.246335567743
43014,163218053.43,7041,23181.089821048146
43018,281959290.86,13543,20819.55924536661
44012,340863557.38,11116,30664.227903922274
44013,525782297.45,19097,27532.193404723253
44019,897770636.57,36557,24558.1047834888
44020,347883737.39,13217,26320.930422183552
44021,6013387653.43,268122,22427.80396024944
44034,604589767.17,23073,26203.344479261472
44040,315821057.58,11960,26406.44294147157
44043,688614151.75,25200,27325.95840277778
44045,163350647.94,6724,24293.67161511005
44048,320535057.1,12214,26243.250130997218
44052,372791793.68,14024,26582.41540787222
44064,273093429.47,8257,33074.17094223084
44073,188003584.9,7837,23989.228646165626
44081,374561467.95,16000,23410.091746874998
44083,1115283064.09,44930,24822.681150456265
44084,740763367.79,29529,25085.961860882522
44085,665268247.91,26979,24658.74376033211
45035,776261276.05,32482,23898.19826519303
45041,498399232.81,27075,18408.097241366573
45059,359671958.17,15007,23966.945969880722
45060,162211738.92,6874,23597.86716904277
45061,167892199.47,6552,25624.57256868132
45062,55709603.75,2036,27362.280820235756
45063,164837525.75,6805,24223.001579720793
45064,165277537.53,6340,26069.012228706626
45065,209973728.7,8320,25237.227007211535
45068,406523284.84,15952,25484.15777582748
46003,1263990802.28,50300,25129.041794831013
46013,412078741.26,17056,24160.338957551594
46014,962594182.74,43064,22352.64217768902
46020,492822092.08,19932,24725.17018262091
46021,1706603056.62,81138,21033.338961029356
